id,food_name,price,area,counter,tags,time,,备注
,盐水花生,12,美食苑,淄博烧烤,"花生, 凉菜",正餐,,
,盐水毛豆,12,美食苑,淄博烧烤,"毛豆, 凉菜",正餐,,
,花生毛豆拼,12,美食苑,淄博烧烤,"花生, 毛豆, 凉菜",正餐,,
,羊板筋,3.5,美食苑,淄博烧烤,"羊, 板筋",正餐,,
,羊肉筋,4,美食苑,淄博烧烤,"羊, 筋",正餐,,
,羊肉串,3,美食苑,淄博烧烤,,正餐,,
,红柳大串,8,美食苑,淄博烧烤,羊,正餐,,
,淄博小饼,5,美食苑,淄博烧烤,,正餐,,
,小葱蘸酱（小份）,5,美食苑,淄博烧烤,,正餐,,
,小葱蘸酱（大份）,10,美食苑,淄博烧烤,,正餐,,
,五花肉,3,美食苑,淄博烧烤,五花肉,正餐,,
,牛板筋,3,美食苑,淄博烧烤,,正餐,,
,猪脆骨,3,美食苑,淄博烧烤,"猪, 脆骨",正餐,,
,鸡胗,3,美食苑,淄博烧烤,"鸡, 鸡胗",正餐,,
,鸡心,3,美食苑,淄博烧烤,"鸡, 鸡心",正餐,,
,肥腰,10,美食苑,淄博烧烤,"羊, 腰",正餐,,
,小腰,3,美食苑,淄博烧烤,,正餐,,
,望京小腰,3,美食苑,淄博烧烤,,正餐,,
,牛肉串,4,美食苑,淄博烧烤,牛,正餐,,
,鸡肉串,3,美食苑,淄博烧烤,鸡,正餐,,
,奥尔良鸡翅,8,美食苑,淄博烧烤,鸡翅,正餐,,
,蜜汁鸡翅,8,美食苑,淄博烧烤,鸡翅,正餐,,
,骨肉相连,3,美食苑,淄博烧烤,骨肉相连,正餐,,
,大虾,4,美食苑,淄博烧烤,虾,正餐,,
,鱿鱼,6,美食苑,淄博烧烤,鱿鱼,正餐,,
,糖蒜,5,美食苑,淄博烧烤,,正餐,,
,烤韭菜,10,美食苑,淄博烧烤,韭菜,正餐,,
,豆皮卷金针菇,2.5,美食苑,淄博烧烤,"豆皮, 金针菇",正餐,,
,烤肠,3,美食苑,淄博烧烤,,正餐,,
,鱼豆腐,3,美食苑,淄博烧烤,,正餐,,
,美容猪皮,2,美食苑,淄博烧烤,,正餐,,
,烤鹌鹑蛋,4,美食苑,淄博烧烤,,正餐,,
,馒头片,2,美食苑,淄博烧烤,,正餐,,
,烤猪蹄,22,美食苑,淄博烧烤,,正餐,,
,护心肉,3,美食苑,淄博烧烤,,正餐,,
,原味鸡翅,8,美食苑,淄博烧烤,,正餐,,
,培根卷金针菇,4,美食苑,淄博烧烤,,正餐,,
,麻辣小龙虾（10只）,29,美食苑,淄博烧烤,,正餐,,
,麻辣小龙虾（20只）,56,美食苑,淄博烧烤,,正餐,,
,香辣卤鸭腿,7,美食苑,淄博烧烤,,正餐,,
,香辣卤鸭头,7,美食苑,淄博烧烤,,正餐,,
,鸭货拼盘,20,美食苑,淄博烧烤,,正餐,,
,炸花生米,10,美食苑,淄博烧烤,,正餐,,
,拌猪耳,22,美食苑,淄博烧烤,,正餐,,
,拌猪头肉,22,美食苑,淄博烧烤,,正餐,,
,拌豆腐丝,10,美食苑,淄博烧烤,,正餐,,
,果仁菠菜,18,美食苑,淄博烧烤,,正餐,,
,拍黄瓜,12,美食苑,淄博烧烤,,正餐,,
,皮蛋豆腐,10,美食苑,淄博烧烤,,正餐,,
,姜汁松花蛋,16,美食苑,淄博烧烤,,正餐,,
,川味香肠,18,美食苑,淄博烧烤,,正餐,,
,小酥肉,26,美食苑,淄博烧烤,,正餐,,
,炸平菇,18,美食苑,淄博烧烤,,正餐,,
,红糖爆浆糍粑,16,美食苑,淄博烧烤,,正餐,,
,花生米三元,3,美食苑,淄博烧烤,,正餐,,
,香辣烤牛蛙,68,美食苑,淄博烧烤,,正餐,,
,烤鱼,68,美食苑,淄博烧烤,,正餐,,
,香辣烤虾,68,美食苑,淄博烧烤,,正餐,,
,大虾,4,美食苑,淄博烧烤,,正餐,,
,海带,6,美食苑,淄博烧烤,,正餐,,
,宽粉,6,美食苑,淄博烧烤,,正餐,,
,金针菇,8,美食苑,淄博烧烤,,正餐,,
,腐竹,8,美食苑,淄博烧烤,,正餐,,
,娃娃菜,6,美食苑,淄博烧烤,,正餐,,
,土豆,6,美食苑,淄博烧烤,,正餐,,
,鸭血,6,美食苑,淄博烧烤,,正餐,,
,豆皮,6,美食苑,淄博烧烤,,正餐,,
,木耳,8,美食苑,淄博烧烤,,正餐,,
,香辣肥肠鸡,68,美食苑,淄博烧烤,,正餐,,
,丸子,12,美食苑,淄博烧烤,,正餐,,
,鲜香菇,8,美食苑,淄博烧烤,,正餐,,
,麻婆豆腐,18,美食苑,淄博烧烤,,正餐,,
,清炒小油菜,18,美食苑,淄博烧烤,,正餐,,
,西红柿炒鸡蛋,20,美食苑,淄博烧烤,,正餐,,
,韭菜炒鸡蛋,20,美食苑,淄博烧烤,,正餐,,
,尖椒炒鸡蛋,20,美食苑,淄博烧烤,,正餐,,
,地三鲜,22,美食苑,淄博烧烤,,正餐,,
,干煸豆角,24,美食苑,淄博烧烤,,正餐,,
,鱼香肉丝,25,美食苑,淄博烧烤,,正餐,,
,泡椒猪肝,25,美食苑,淄博烧烤,,正餐,,
,尖椒肉丝,25,美食苑,淄博烧烤,,正餐,,
,湘味小河虾,26,美食苑,淄博烧烤,,正餐,,
,回锅肉,26,美食苑,淄博烧烤,,正餐,,
,松仁玉米,26,美食苑,淄博烧烤,,正餐,,
,小炒肉,28,美食苑,淄博烧烤,,正餐,,
,宫保鸡丁,28,美食苑,淄博烧烤,,正餐,,
,京酱肉丝,30,美食苑,淄博烧烤,,正餐,,
,水煮肉,32,美食苑,淄博烧烤,,正餐,,
,盐煎肉,32,美食苑,淄博烧烤,,正餐,,
,乐山辣子鸡,35,美食苑,淄博烧烤,,正餐,,
,红运毛血旺,38,美食苑,淄博烧烤,,正餐,,
,奇香排骨,42,美食苑,淄博烧烤,,正餐,,
,小炒牛肉,42,美食苑,淄博烧烤,,正餐,,
,土豆烧牛肉,42,美食苑,淄博烧烤,,正餐,,
,麻辣跳水蛙,48,美食苑,淄博烧烤,,正餐,,
,香酥排骨虾,48,美食苑,淄博烧烤,,正餐,,
,大盘鸡,48,美食苑,淄博烧烤,,正餐,,
,酥脆香酥虾,56,美食苑,淄博烧烤,,正餐,,
,外婆菜炒鸡蛋,20,美食苑,淄博烧烤,,正餐,,
,小炒猪脸,26,美食苑,淄博烧烤,,正餐,,
,梅菜扣肉,36,美食苑,淄博烧烤,,正餐,,
,清炒油麦菜,18,美食苑,淄博烧烤,,正餐,,
,小炒香干,28,美食苑,淄博烧烤,,正餐,,
,腊肉香干,36,美食苑,淄博烧烤,,正餐,,
,干锅千叶豆腐,26,美食苑,淄博烧烤,,正餐,,
,锅仔酸菜白肉,28,美食苑,淄博烧烤,,正餐,,
,干锅牛蛙,48,美食苑,淄博烧烤,,正餐,,
,干锅卤味肥肠,42,美食苑,淄博烧烤,,正餐,,
,干锅有机花菜,30,美食苑,淄博烧烤,,正餐,,
,番茄牛腩锅仔,42,美食苑,淄博烧烤,,正餐,,
,干锅土豆片,22,美食苑,淄博烧烤,,正餐,,
,干锅腊味包菜,32,美食苑,淄博烧烤,,正餐,,
,干锅大虾,58,美食苑,淄博烧烤,,正餐,,
,干锅仔鸡,36,美食苑,淄博烧烤,,正餐,,
,干锅卤香排骨,55,美食苑,淄博烧烤,,正餐,,
,干锅娃娃菜,22,美食苑,淄博烧烤,,正餐,,
,干锅腊肠,38,美食苑,淄博烧烤,,正餐,,
,干锅卤味牛肉,48,美食苑,淄博烧烤,,正餐,,
,米饭,2,美食苑,淄博烧烤,,正餐,,
,西红柿炒鸡蛋盖饭,15,美食苑,淄博烧烤,,正餐,,
,韭菜鸡蛋盖饭,15,美食苑,淄博烧烤,,正餐,,
,尖椒肉丝盖饭,16,美食苑,淄博烧烤,,正餐,,
,外婆菜盖饭,16,美食苑,淄博烧烤,,正餐,,
,鱼香肉丝盖饭,16,美食苑,淄博烧烤,,正餐,,
,扬州炒饭,16,美食苑,淄博烧烤,,正餐,,
,木耳肉片盖饭,16,美食苑,淄博烧烤,,正餐,,
,小炒肉盖饭,18,美食苑,淄博烧烤,,正餐,,
,肉焖豆角盖饭,18,美食苑,淄博烧烤,,正餐,,
,小炒猪肝盖饭,18,美食苑,淄博烧烤,,正餐,,
,小炒香干盖饭,18,美食苑,淄博烧烤,,正餐,,
,小炒鸡丁盖饭,18,美食苑,淄博烧烤,,正餐,,
,京酱肉丝盖饭,18,美食苑,淄博烧烤,,正餐,,
,宫保鸡丁盖饭,18,美食苑,淄博烧烤,,正餐,,
,辣子鸡盖饭,20,美食苑,淄博烧烤,,正餐,,
,小炒猪头肉盖饭,20,美食苑,淄博烧烤,,正餐,,
,回锅肉盖饭,20,美食苑,淄博烧烤,,正餐,,
,土豆牛肉盖饭,22,美食苑,淄博烧烤,,正餐,,
,梅菜扣肉盖饭,22,美食苑,淄博烧烤,,正餐,,
,煎蛋,3,美食苑,淄博烧烤,,正餐,,
,泡椒猪肝盖饭,16,美食苑,淄博烧烤,,正餐,,
,小炒鸭胸盖饭,19,美食苑,淄博烧烤,,正餐,,
,素炒面,13,美食苑,淄博烧烤,,正餐,,
,蛋炒面,15,美食苑,淄博烧烤,,正餐,,
,肉炒面,16,美食苑,淄博烧烤,,正餐,,
,牛肉炒面,18,美食苑,淄博烧烤,,正餐,,
,腊肉炒面,18,美食苑,淄博烧烤,,正餐,,
,凉面,10,美食苑,淄博烧烤,,正餐,,
,鸡蛋炒河粉,15,美食苑,淄博烧烤,,正餐,,
,肉丝炒河粉,16,美食苑,淄博烧烤,,正餐,,
,牛肉炒河粉,18,美食苑,淄博烧烤,,正餐,,
,腊肉炒河粉,18,美食苑,淄博烧烤,,正餐,,
,素炒河粉,13,美食苑,淄博烧烤,,正餐,,
,鸡蛋炒饼,15,美食苑,淄博烧烤,,正餐,,
,肉炒饼,16,美食苑,淄博烧烤,,正餐,,
,素炒饼,13,美食苑,淄博烧烤,,正餐,,
,牛肉炒饼,18,美食苑,淄博烧烤,,正餐,,
,腊肉炒饼,18,美食苑,淄博烧烤,,正餐,,
,酸辣汤,18,美食苑,淄博烧烤,,正餐,,
,西红柿鸡蛋汤,18,美食苑,淄博烧烤,,正餐,,
,西红柿疙瘩汤（小份）,10,美食苑,淄博烧烤,,正餐,,
,西红柿疙瘩汤（大份）,18,美食苑,淄博烧烤,,正餐,,
,狼牙土豆（糖醋）,10,美食苑,狼牙锅巴土豆,,正餐,,
,狼牙土豆（香辣）,10,美食苑,狼牙锅巴土豆,,正餐,,
,狼牙土豆（孜然）,10,美食苑,狼牙锅巴土豆,,正餐,,
,狼牙土豆（干拌）,10,美食苑,狼牙锅巴土豆,,正餐,,
,狼牙土豆（藤椒）,10,美食苑,狼牙锅巴土豆,,正餐,,
,包浆豆腐,10,美食苑,狼牙锅巴土豆,,正餐,,
,锅巴土豆（糖醋麻辣）,10,美食苑,狼牙锅巴土豆,,正餐,,
,锅巴土豆（糖醋）,10,美食苑,狼牙锅巴土豆,,正餐,,
,锅巴土豆（藤椒）,10,美食苑,狼牙锅巴土豆,,正餐,,
,锅巴土豆（梅甘）,10,美食苑,狼牙锅巴土豆,,正餐,,
,锅巴土豆（番茄）,10,美食苑,狼牙锅巴土豆,,正餐,,
,锅巴土豆（孜然）,10,美食苑,狼牙锅巴土豆,,正餐,,
,锅巴土豆（香辣）,10,美食苑,狼牙锅巴土豆,,正餐,,
,绝味大面筋,6,美食苑,狼牙锅巴土豆,,正餐,,
,剁椒面筋,7,美食苑,狼牙锅巴土豆,,正餐,,
,鱼骨面筋,10,美食苑,狼牙锅巴土豆,,正餐,,
,网红小面筋,10,美食苑,狼牙锅巴土豆,,正餐,,
,黄金鱼豆腐,10,美食苑,狼牙锅巴土豆,,正餐,,
,夺命豆皮,10,美食苑,狼牙锅巴土豆,,正餐,,
,烤苕皮,8,美食苑,狼牙锅巴土豆,,正餐,,
,手把鱿鱼须,12,美食苑,狼牙锅巴土豆,,正餐,,
,爽口鱿鱼板,12,美食苑,狼牙锅巴土豆,,正餐,,
,金针菇卷,4,美食苑,狼牙锅巴土豆,,正餐,,
,香菜卷,4,美食苑,狼牙锅巴土豆,,正餐,,
,台式烤肠,4,美食苑,狼牙锅巴土豆,,正餐,,
,烤香菇,4,美食苑,狼牙锅巴土豆,,正餐,,
,烤烧饼,4,美食苑,狼牙锅巴土豆,,正餐,,
,烤年糕,4,美食苑,狼牙锅巴土豆,,正餐,,
,烤臭豆腐,4,美食苑,狼牙锅巴土豆,,正餐,,
,手把鸭肠,12,美食苑,狼牙锅巴土豆,,正餐,,
,手把玉米串,12,美食苑,狼牙锅巴土豆,,正餐,,
,手把牛肚,12,美食苑,狼牙锅巴土豆,,正餐,,
,手把牛肉串,12,美食苑,狼牙锅巴土豆,,正餐,,
,秘制烤翅,10,美食苑,狼牙锅巴土豆,,正餐,,
,秘制骨肉串,6,美食苑,狼牙锅巴土豆,,正餐,,
,秘制鸡肉丸,6,美食苑,狼牙锅巴土豆,,正餐,,
,爆香墨鱼丸,5,美食苑,狼牙锅巴土豆,,正餐,,
